Nama Akun,Komentar,Sumber
@budisujarwo6841,"Dari jawaban2 Pak Presiden semua utk kepentingan rakyat.Terima kasih Pak.Mdh2an niat mulia Presiden Prabowo terwujud. Saya mw curhat Pak Presiden,sbg rakyat saya sdh ikut asuransi Bumiputera dari tahun 2004,mestinya klaim polis asuransi saya cair 2019.tetapi sampai skr blm dapat hak saya sbg nasabah.sudah saya adukan ke OJK,belum ada realisasi.2 tahun lalu dibuat perjanjian akan dicairkan asalkan dipotong 50%,karena saya butuh,saya tanda tangan setuju saja.tetapi tetap sampai sekarang belum cair saja Polis saya Pak.Mohon kiranya presiden Prabowo bantu saya.oya,sejak diumumkan adanya penerimaan pengaduan melalui program Wakil Presiden ""Lapor Mas Wapres ""saya ikuti juga mengenai masalah ini,tapi tetap tak ditanggapi.sekali lagi saya mohon bantuannya pak Presiden agar polis asuransi saya dari Bumiputera bisa cair.Terima kasih",Narasi Newsroom
@dedidedi1905,"Dolar makin melejit ni pak baru sekarang rupiah anjlok meluncur sampai17000,apa solusi nya pak",Narasi Newsroom
@divafutihaturrohmah5335,"pakk 4 sehat 5 sempurna udah ga berlaku lagi yaa, sekarang prinsipnya itu ""gizi seimbang"" 😢",Narasi Newsroom
@KimairaNero,Kecewa berat gua sama diri gua karena ga bisa bantu indonesia saat punya presiden seperti ini. Semoga Allah memberikan jalan bagi hamba ini dan seluruh orang yg mencintai indonesia untuk memajukannya ke arah yg lebih baik,Narasi Newsroom
@ahmadbaidhowi8522,Uni Lubis deserves Man of the match 😅,Narasi Newsroom
@Irene_Hwang,"Selamat Indonesia! Jauh lebih baik dari Presiden sebelumnya, Kanjeng Sri Maharaja Moelyono Jawadiningrat yang selalu menjawab: 'Yo ndak tau, kok tanya saya...'",Narasi Newsroom
@yewtunskyuu9260,kecewa berat. please turunin dia dari kursi presiden :(((,Narasi Newsroom
@GoedangMusik,"kalo yg saya tangkep dari semua yg diomongin pak prabowo, dibagian pembahasan UU perampasan as pak presiden cenderung lebih hati-hati dalam menjawab, cenderung main aman krn seperti yg sudah kita tau, di DPR sendiri kalo gak salah pak bambang pacul ngomong, masalah UU perampasan aset bisa disahkan asal sudah ada acc dari para ketua partai, jadi darisitu bisa dilihat kan, bahkan presiden pun masih terbelenggu oleh kepentingan partai dalam hal ini koalisi, gampangnya, dia bisa jd presiden juga berkat koalisi, jd mau gimana pun pasti apa-apanya harus sesuai dari keputusan ketua parpol dalam koalisinya. saya garis bawahi pas prabowo bilang ""apakah adil kalo bapaknya yg korupsi, istri dan anaknya mendapatkan hukuman juga atas dosa bapak/suaminya"" lah emang selama ini istri dan anaknya gak menikmati uang hasil korupsinya gitu, wkwkwkwkw.. istri dan anaknya bisa pake barang2 mewah emang uangnya darimana, bisa liburan kemanapun dan semua nikmat dunia itu dari siapa kalo bukan dari uang suami/bapaknya yg korupsi, 
trus keadilannya dimana kalo yg menrasakan dampak buruknya dari korupsi itu seluruh rakyat.. masih ngomongin keadilan buat koruptor.

dan lagi saya akuin emang programnya banyak dan oke lah visinya, tapi kembali lagi menurut saya itu puncak dari semua puncak kelancaran semua program itu adalah ngga adanya tikus2 disemua aspek proses berjalannya itu program, kalo masih banyak tikusnya, mau sebanyak apapun dan sebagus apapun programnya, tetep aja besok-besok yg ada makin banyak juga berita orang yg ktangkep KPK. pdhl kenapa ngga mikirin dulu gimana caranya mbrangus atau ngasih efek biadab ke para koruptor dulu, baru deh setelah habis dan ngga ada lg yg berani korupsi, baru deh bikin program yg banyak dan bagus,, dijamin bakalan lancar jaya kaya jalan tol",Narasi Newsroom
@GriffithGamin9,Kagak ngejawab apa-apa dah 😭,Narasi Newsroom
@QueenBelle-g3s,"Duo combo. Presiden public speaking nya kayak gini, wapresnya kalian udah pada tau",Narasi Newsroom
